UF,Total (1 000 pessoas),Total (1 000 pessoas) CV (%),Branca  (Total),Branca CV (%),Preta Total,Preta CV (%),Parda (Total),Parda CV (%),Amarela ou indígena (Total),Amarela ou indígena CV (%),Ano:
Paraná,11075,678000000256,-,69,004007507886982,1,0968377606280479,3,3682947703580988,6,407195372463673,26,718321177205766,2,5499682384338782,0,90937654454883232,12,790536299392283,2015
Santa Catarina,6790,8330000001351,-,86,999563860329005,0,61321726430448709,2,1198036779224068,8,3188850972072768,10,703970718511824,4,5031809518193526,0,17075839116263516,21,079091218084319,2015
Rio Grande do Sul,11157,009999999933,-,83,45430813476483,0,75196991312417127,4,7509684426109002,6,3437978775381429,11,520133576674194,4,3141818253561741,0,27458984595014763,17,869902499330255,2015
Mato Grosso do Sul,2587,2510000000611,-,44,111435607798605,2,5359560694637113,4,891018117957465,7,1411244754931786,49,793894499809227,2,1931284741233221,1,2036517744354089,20,434005468687687,2015
Mato Grosso,3263,5219999999208,-,33,186603955853734,3,3890825586392821,6,799078364101188,5,7020938718744567,59,297466150744093,1,8842219040184536,0,71685152929989249,20,438763603689921,2015
Goiás,6625,1509999999707,-,38,460686803433084,2,4838633304760971,6,2203321240533018,5,7655779629704424,54,941701693879111,1,7965909074356861,0,37105155531380801,22,307206194184712,2015
Distrito Federal,2848,6329999999443,-,39,977397356690048,3,0447798142094742,7,8335634012757893,5,8629341870036953,51,299537651552043,2,1907128852122546,0,88950159048129673,19,065374215874012,2015
Rondônia,1707,6839999999975,-,28,884215747142182,4,2053638452117639,7,3689640540954198,6,4785129769983882,62,715031462373275,1,8313358824960417,1,0317887363897806,19,059960033756678,2016
Acre,828,43599999998742,-,18,045185857991399,4,7725420182376226,5,4211505883969089,8,0957861457626468,75,98191042643127,1,315774460936568,0,55175312717896108,32,5190877531995,2016
Amazonas,3798,0720000000115,-,17,897608294532752,4,5272462694435331,3,1039243888195434,12,584302105809803,76,780096909971874,1,2401998480241943,2,2183704066754197,21,413009513048653,2016
Roraima,467,91899999999481,-,20,967410962118073,6,2799857065366407,8,1236932458850539,8,4114624164223759,65,089373226901316,2,326783785710409,5,794361058309538,22,595181107013786,2016
Pará,8293,480000000156,-,17,845640872461242,3,1865347788526419,7,8034155321127914,5,4559525768951964,73,683820159921609,0,92205407568116038,0,66712343550466857,15,971347030490717,2016
Amapá,788,89199999999653,-,20,606773637366903,4,9577022574183403,8,9738082087851581,10,805974893729013,69,51736057149833,2,007443719100753,0,90205758235019007,52,506331629551198,2016
Tocantins,1507,6229999999746,-,21,123559412053467,5,833866893989315,11,163942956880801,6,9524632449393931,66,756140928914149,1,8861540032031201,0,95635670214943169,23,198410080349635,2016
Maranhão,6921,2590000000037,-,19,511498779763606,2,3951047655443021,10,882642189724708,3,7662175522320887,69,152669761305162,0,81611584624338862,0,45318926920452901,13,496790913106288,2016
Piauí,3246,2280000000974,-,21,23883285921487,4,5289367869552368,7,5723813474223816,6,6092944352792324,71,001521266544074,1,3954762966573688,0,18726452681901309,36,228108576037606,2016
Ceará,8959,456999999773,-,27,481129213537784,2,5052988314866602,4,163810521059502,5,8656548640144912,67,827139286157148,1,0713393958028572,0,52792097924743331,18,204707337112179,2016
Rio Grande do Norte,3422,8430000000262,-,36,306218061484216,2,8193503182937736,5,6723445729554873,9,6650640492417832,57,727402064784492,1,7156164724196246,0,27955519848401233,26,039762967685874,2016
Paraíba,3932,8710000000228,-,35,683356616639095,2,3563584664049362,3,9950296798231038,6,9774242298694,60,170878491098982,1,4147636432554218,0,15073521243974047,29,480350311027543,2016
Pernambuco,9320,4640000000472,-,31,207112734660384,2,8050103798461423,5,7681619945843421,6,3053229428529827,62,523993758211311,1,3626860555003779,0,50073151254375603,15,078525005591709,2016
